EURCAD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
11/21/2023 00:00,1.50224,1.50417,1.501,1.50318,9.4,0.06,
11/20/2023 00:00,1.49627,1.50387,1.4949,1.50224,59.7,0.40,
11/19/2023 00:00,1.49544,1.49648,1.49544,1.49629,8.5,0.06,
11/17/2023 00:00,1.49248,1.4994,1.48714,1.4965,40.2,0.27,
11/16/2023 00:00,1.48514,1.49791,1.4833,1.49249,73.5,0.49,
11/15/2023 00:00,1.49018,1.49024,1.4805,1.48501,-51.7,-0.35,
11/14/2023 00:00,1.47683,1.49113,1.4756,1.4897,128.7,0.86,
11/13/2023 00:00,1.47493,1.47723,1.4735,1.4765,15.7,0.11,
11/12/2023 00:00,1.47312,1.47519,1.47276,1.47498,18.6,0.13,
11/10/2023 00:00,1.47298,1.47836,1.47028,1.474,10.2,0.07,
11/09/2023 00:00,1.4771,1.47742,1.4716,1.47298,-41.2,-0.28,
11/08/2023 00:00,1.47263,1.479,1.4688,1.47724,46.1,0.31,
11/07/2023 00:00,1.4681,1.4731,1.466,1.4725,44,0.30,
11/06/2023 00:00,1.46595,1.46988,1.464,1.46817,22.2,0.15,
11/05/2023 00:00,1.46464,1.46603,1.46461,1.46594,13.0,0.09,
11/03/2023 00:00,1.45929,1.46913,1.4585,1.4667,74.1,0.51,
11/02/2023 00:00,1.46451,1.4719,1.45799,1.45931,-52.0,-0.36,
11/01/2023 00:00,1.46801,1.46812,1.45881,1.46455,-34.6,-0.24,
10/31/2023 00:00,1.46786,1.4747,1.4638,1.46804,1.8,0.01,
10/30/2023 00:00,1.46421,1.47107,1.4611,1.46778,35.7,0.24,
10/29/2023 00:00,1.46431,1.46569,1.46419,1.46422,-0.9,-0.01,
10/27/2023 00:00,1.45947,1.46945,1.4552,1.4651,56.3,0.38,
10/26/2023 00:00,1.45834,1.46114,1.4534,1.45947,11.3,0.08,
10/25/2023 00:00,1.45594,1.46033,1.4534,1.45837,24.3,0.17,
10/24/2023 00:00,1.46051,1.46155,1.4526,1.45592,-45.9,-0.32,
10/23/2023 00:00,1.45124,1.46095,1.4494,1.4605,92.6,0.63,
10/20/2023 00:00,1.4519,1.45296,1.446,1.4525,6,0.04,
10/19/2023 00:00,1.44495,1.45296,1.4443,1.45195,70.0,0.48,
10/18/2023 00:00,1.44345,1.4453,1.4384,1.44497,15.2,0.11,
10/17/2023 00:00,1.43695,1.44497,1.4347,1.44346,65.1,0.45,
10/16/2023 00:00,1.4355,1.43852,1.4331,1.43694,14.4,0.10,
10/13/2023 00:00,1.44166,1.44398,1.4326,1.4346,-70.6,-0.49,
10/12/2023 00:00,1.44426,1.4448,1.4373,1.44165,-26.1,-0.18,
10/11/2023 00:00,1.44043,1.44544,1.4396,1.44431,38.8,0.27,
10/10/2023 00:00,1.43647,1.44256,1.4338,1.44039,39.2,0.27,
10/09/2023 00:00,1.44354,1.44374,1.43352,1.43646,-70.8,-0.49,
10/06/2023 00:00,1.44548,1.44973,1.4375,1.446,5.2,0.04,
10/05/2023 00:00,1.44381,1.44898,1.4423,1.44554,17.3,0.12,
10/04/2023 00:00,1.43514,1.44677,1.4332,1.44379,86.5,0.60,
10/03/2023 00:00,1.43314,1.4396,1.4317,1.43513,19.9,0.14,
10/02/2023 00:00,1.43387,1.43741,1.42965,1.43319,-6.8,-0.05,
09/29/2023 00:00,1.42488,1.43622,1.4215,1.4348,99.2,0.69,
09/28/2023 00:00,1.41812,1.42666,1.4153,1.42491,67.9,0.48,
09/27/2023 00:00,1.42869,1.42972,1.4169,1.41822,-104.7,-0.74,
09/26/2023 00:00,1.42452,1.4326,1.4234,1.42872,42.0,0.29,
09/25/2023 00:00,1.43504,1.43623,1.424,1.42456,-104.8,-0.74,
09/22/2023 00:00,1.43671,1.4373,1.4281,1.4358,-9.1,-0.06,
09/21/2023 00:00,1.43528,1.43988,1.4323,1.43663,13.5,0.09,
09/20/2023 00:00,1.43579,1.43955,1.4331,1.43524,-5.5,-0.04,
09/19/2023 00:00,1.44193,1.44206,1.4299,1.43585,-60.8,-0.42,
09/18/2023 00:00,1.44253,1.44305,1.4364,1.44196,-5.7,-0.04,
09/15/2023 00:00,1.4374,1.44592,1.43053,1.4407,33,0.23,
09/14/2023 00:00,1.45454,1.45501,1.43395,1.43738,-171.6,-1.19,
09/13/2023 00:00,1.45728,1.45932,1.4516,1.45447,-28.1,-0.19,
09/12/2023 00:00,1.45945,1.462,1.4508,1.45731,-21.4,-0.15,
09/11/2023 00:00,1.46044,1.46151,1.4552,1.45941,-10.3,-0.07,
09/08/2023 00:00,1.46369,1.46612,1.4563,1.4592,-44.9,-0.31,
09/07/2023 00:00,1.46256,1.46629,1.45764,1.46367,11.1,0.08,
09/06/2023 00:00,1.46276,1.46748,1.45925,1.46253,-2.3,-0.02,
09/05/2023 00:00,1.46746,1.47027,1.458,1.46273,-47.3,-0.32,
09/04/2023 00:00,1.46469,1.46945,1.4641,1.46749,28.0,0.19,
09/01/2023 00:00,1.46477,1.47326,1.4628,1.4642,-5.7,-0.04,
08/31/2023 00:00,1.47917,1.47987,1.463,1.4643,-148.7,-1.02,
08/30/2023 00:00,1.47368,1.48238,1.4714,1.47916,54.8,0.37,
08/29/2023 00:00,1.47232,1.47663,1.4689,1.47367,13.5,0.09,
08/28/2023 00:00,1.46781,1.47267,1.466,1.47229,44.8,0.30,
08/25/2023 00:00,1.46709,1.47186,1.4624,1.4681,10.1,0.07,
08/24/2023 00:00,1.46942,1.47205,1.4656,1.46716,-22.6,-0.15,
08/23/2023 00:00,1.46968,1.47357,1.4649,1.46939,-2.9,-0.02,
08/22/2023 00:00,1.47614,1.47844,1.46786,1.46965,-64.9,-0.44,
08/21/2023 00:00,1.47262,1.47842,1.4707,1.47614,35.2,0.24,
08/18/2023 00:00,1.47294,1.47587,1.46674,1.4723,-6.4,-0.04,
08/17/2023 00:00,1.472,1.47424,1.35552,1.47295,9.5,0.06,
08/16/2023 00:00,1.47095,1.47605,1.46355,1.47201,10.6,0.07,
08/15/2023 00:00,1.468,1.47604,1.4664,1.47092,29.2,0.20,
08/14/2023 00:00,1.47075,1.47397,1.4652,1.46803,-27.2,-0.19,
08/11/2023 00:00,1.47632,1.48014,1.4694,1.4705,-58.2,-0.40,
08/10/2023 00:00,1.47301,1.4797,1.4714,1.47635,33.4,0.23,
08/09/2023 00:00,1.47131,1.47695,1.4705,1.47296,16.5,0.11,
08/08/2023 00:00,1.47121,1.47709,1.46818,1.47132,1.1,0.01,
08/07/2023 00:00,1.47154,1.47249,1.4669,1.47121,-3.3,-0.02,
08/04/2023 00:00,1.46205,1.47454,1.4606,1.4725,104.5,0.71,
08/03/2023 00:00,1.46027,1.46311,1.4574,1.46197,17.0,0.12,
08/02/2023 00:00,1.46053,1.46295,1.4548,1.4602,-3.3,-0.02,
08/01/2023 00:00,1.45089,1.46222,1.4493,1.46061,97.2,0.67,
07/31/2023 00:00,1.4608,1.46136,1.44693,1.45076,-100.4,-0.69,
07/28/2023 00:00,1.45206,1.46184,1.4481,1.4587,66.4,0.46,
07/27/2023 00:00,1.46274,1.47018,1.4486,1.45205,-106.9,-0.74,
07/26/2023 00:00,1.45709,1.46567,1.4557,1.46277,56.8,0.39,
07/25/2023 00:00,1.45745,1.4594,1.42845,1.45717,-2.8,-0.02,
07/24/2023 00:00,1.4712,1.4718,1.4539,1.45751,-136.9,-0.94,
07/21/2023 00:00,1.46681,1.47139,1.463,1.4706,37.9,0.26,
07/20/2023 00:00,1.47488,1.47602,1.46426,1.46684,-80.4,-0.55,
07/19/2023 00:00,1.47831,1.4805,1.4722,1.47486,-34.5,-0.23,
07/18/2023 00:00,1.48344,1.48811,1.4773,1.47832,-51.2,-0.35,
07/17/2023 00:00,1.48493,1.48725,1.4771,1.48341,-15.2,-0.10,
07/14/2023 00:00,1.47163,1.48562,1.4695,1.48177,101.4,0.68,
07/13/2023 00:00,1.46859,1.47284,1.4649,1.47163,30.4,0.21,
07/12/2023 00:00,1.45683,1.46957,1.4551,1.46862,117.9,0.80,
07/11/2023 00:00,1.46071,1.46205,1.45511,1.45693,-37.8,-0.26,
