GBPUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
11/21/2023 00:00,1.25078,1.254,1.2503,1.25282,20.4,0.16,
11/20/2023 00:00,1.24526,1.25175,1.2445,1.2507,54.4,0.43,
11/19/2023 00:00,1.24487,1.2462,1.24457,1.24528,4.1,0.03,
11/17/2023 00:00,1.24129,1.2466,1.2373,1.2456,43.1,0.35,
11/16/2023 00:00,1.24208,1.24559,1.2375,1.24138,-7.0,-0.06,
11/15/2023 00:00,1.24924,1.24973,1.2402,1.24198,-72.6,-0.58,
11/14/2023 00:00,1.22797,1.2506,1.2264,1.24929,213.2,1.71,
11/13/2023 00:00,1.22287,1.2281,1.2221,1.2278,49.3,0.40,
11/12/2023 00:00,1.22175,1.22315,1.22175,1.22291,11.6,0.09,
11/10/2023 00:00,1.22155,1.2238,1.2185,1.2222,6.5,0.05,
11/09/2023 00:00,1.22835,1.2309,1.2199,1.22141,-69.4,-0.57,
11/08/2023 00:00,1.22896,1.23016,1.2239,1.22826,-7.0,-0.06,
11/07/2023 00:00,1.23427,1.2347,1.226,1.22917,-51.0,-0.41,
11/06/2023 00:00,1.23715,1.2429,1.2336,1.23438,-27.7,-0.22,
11/05/2023 00:00,1.23691,1.23769,1.23668,1.23715,2.4,0.02,
11/03/2023 00:00,1.21886,1.239,1.2183,1.2374,185.4,1.50,
11/02/2023 00:00,1.21804,1.2226,1.2154,1.21889,8.5,0.07,
11/01/2023 00:00,1.21499,1.218,1.2094,1.21797,29.8,0.24,
10/31/2023 00:00,1.21634,1.22008,1.2118,1.21504,-13.0,-0.11,
10/30/2023 00:00,1.21123,1.21741,1.2089,1.2162,49.7,0.41,
10/29/2023 00:00,1.2121,1.21229,1.21096,1.21125,-8.5,-0.07,
10/27/2023 00:00,1.2135,1.21623,1.2104,1.2124,-11,-0.09,
10/26/2023 00:00,1.21004,1.21394,1.2068,1.2134,33.6,0.28,
10/25/2023 00:00,1.21621,1.2176,1.20928,1.21004,-61.7,-0.51,
10/24/2023 00:00,1.22486,1.2289,1.2152,1.21603,-88.3,-0.73,
