USDJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
11/21/2023 00:00,148.384,148.419,147.247,147.387,-99.7,-0.68,
11/20/2023 00:00,149.953,149.986,148.1,148.383,-157.0,-1.06,
11/19/2023 00:00,149.537,149.96,149.513,149.957,42.0,0.28,
11/17/2023 00:00,150.705,150.775,148.4,149.53,-117.5,-0.79,
11/16/2023 00:00,151.214,151.46,150.283,150.706,-50.8,-0.34,
11/15/2023 00:00,150.486,151.42,150.033,151.224,73.8,0.49,
11/14/2023 00:00,151.625,151.8,150.15,150.486,-113.9,-0.76,
11/13/2023 00:00,151.461,151.94,151.19,151.647,18.6,0.12,
11/12/2023 00:00,151.433,151.507,151.433,151.459,2.6,0.02,
11/10/2023 00:00,151.352,151.61,151.215,151.52,16.8,0.11,
11/09/2023 00:00,150.853,151.388,150.75,151.352,49.9,0.33,
11/08/2023 00:00,150.397,151.07,150.344,150.862,46.5,0.31,
11/07/2023 00:00,149.989,150.693,149.956,150.395,40.6,0.27,
11/06/2023 00:00,149.449,150.105,149.37,149.988,53.9,0.36,
11/05/2023 00:00,149.342,149.479,149.321,149.451,10.9,0.07,
11/03/2023 00:00,150.494,150.499,149.177,149.365,-112.9,-0.76,
11/02/2023 00:00,150.575,150.592,149.84,150.491,-8.4,-0.06,
11/01/2023 00:00,151.315,151.445,150.575,150.587,-72.8,-0.48,
10/31/2023 00:00,149.094,151.712,149.088,151.3,220.6,1.46,
10/30/2023 00:00,149.729,149.855,148.802,149.089,-64.0,-0.43,
10/29/2023 00:00,149.524,149.764,149.524,149.733,20.9,0.14,
10/27/2023 00:00,150.368,150.413,149.457,149.667,-70.1,-0.47,
10/26/2023 00:00,150.094,150.776,149.852,150.364,27.0,0.18,
10/25/2023 00:00,149.853,150.316,149.788,150.096,24.3,0.16,
10/24/2023 00:00,149.776,149.928,149.319,149.857,8.1,0.05,
10/23/2023 00:00,149.88,149.99,149.547,149.778,-10.2,-0.07,
10/20/2023 00:00,149.804,150.035,149.631,149.85,4.6,0.03,
10/19/2023 00:00,149.766,149.97,149.663,149.801,3.5,0.02,
10/18/2023 00:00,149.754,149.98,149.47,149.771,1.7,0.01,
10/17/2023 00:00,149.581,149.88,148.749,149.759,17.8,0.12,
10/16/2023 00:00,149.558,149.761,149.371,149.582,2.4,0.02,
10/13/2023 00:00,149.786,149.831,149.449,149.555,-23.1,-0.15,
10/12/2023 00:00,149.032,149.87,148.95,149.783,75.1,0.50,
10/11/2023 00:00,148.621,149.36,148.419,149.033,41.2,0.28,
10/10/2023 00:00,148.332,149.096,148.159,148.622,29.0,0.20,
10/09/2023 00:00,149.148,149.225,148.28,148.33,-81.8,-0.55,
10/06/2023 00:00,148.467,149.535,148.46,149.22,75.3,0.50,
10/05/2023 00:00,148.982,149.116,148.265,148.468,-51.4,-0.35,
10/04/2023 00:00,149.177,149.32,148.72,148.98,-19.7,-0.13,
10/03/2023 00:00,149.863,150.18,147.272,149.175,-68.8,-0.46,
10/02/2023 00:00,149.526,149.88,149.452,149.858,33.2,0.22,
09/29/2023 00:00,149.337,149.51,148.523,149.37,3.3,0.02,
09/28/2023 00:00,149.494,149.556,149.142,149.338,-15.6,-0.10,
09/27/2023 00:00,149.057,149.716,148.856,149.492,43.5,0.29,
09/26/2023 00:00,148.822,149.186,148.7,149.053,23.1,0.15,
09/25/2023 00:00,148.43,148.961,148.283,148.823,39.3,0.26,
09/22/2023 00:00,147.648,148.45,147.5,148.28,63.2,0.43,
09/21/2023 00:00,148.313,148.461,147.317,147.645,-66.8,-0.45,
09/20/2023 00:00,147.762,148.36,147.46,148.321,55.9,0.38,
09/19/2023 00:00,147.615,147.97,147.5,147.757,14.2,0.10,
09/18/2023 00:00,147.865,147.872,147.531,147.613,-25.2,-0.17,
09/15/2023 00:00,147.458,147.97,147.335,147.77,31.2,0.21,
09/14/2023 00:00,147.328,147.565,147.01,147.463,13.5,0.09,
09/13/2023 00:00,147.156,147.732,147.092,147.33,17.4,0.12,
09/12/2023 00:00,146.669,147.25,146.44,147.16,49.1,0.33,
09/11/2023 00:00,147.123,147.144,145.898,146.673,-45.0,-0.31,
09/08/2023 00:00,147.335,147.89,146.582,147.78,44.5,0.30,
09/07/2023 00:00,147.711,147.872,147.04,147.336,-37.5,-0.25,
09/06/2023 00:00,147.457,147.817,147.13,147.709,25.2,0.17,
09/05/2023 00:00,146.541,147.802,146.483,147.459,91.8,0.62,
09/04/2023 00:00,146.077,146.554,146.068,146.538,46.1,0.31,
09/01/2023 00:00,145.486,146.3,144.439,146.199,71.3,0.49,
08/31/2023 00:00,146.09,146.225,145.347,145.484,-60.6,-0.42,
08/30/2023 00:00,145.984,146.58,145.555,146.086,10.2,0.07,
08/29/2023 00:00,146.465,147.374,145.665,145.982,-48.3,-0.33,
08/28/2023 00:00,146.544,146.742,146.27,146.463,-8.1,-0.06,
08/25/2023 00:00,146.049,146.631,145.716,146.43,38.1,0.26,
08/24/2023 00:00,144.688,146.08,144.61,146.047,135.9,0.93,
08/23/2023 00:00,145.782,145.813,144.536,144.676,-110.6,-0.76,
08/22/2023 00:00,146.246,146.398,145.49,145.775,-47.1,-0.32,
08/21/2023 00:00,145.317,146.402,145.142,146.244,92.7,0.63,
08/18/2023 00:00,145.713,145.791,144.925,145.41,-30.3,-0.21,
08/17/2023 00:00,146.333,146.56,145.572,145.712,-62.1,-0.43,
08/16/2023 00:00,145.617,146.41,145.3,146.331,71.4,0.49,
08/15/2023 00:00,145.432,145.87,145.1,145.618,18.6,0.13,
08/14/2023 00:00,144.852,145.577,144.655,145.437,58.5,0.40,
08/11/2023 00:00,144.851,145.05,144.418,144.9,4.9,0.03,
08/10/2023 00:00,143.72,144.872,143.274,144.851,113.1,0.78,
08/09/2023 00:00,143.263,143.77,142.998,143.719,45.6,0.32,
08/08/2023 00:00,142.538,143.492,142.526,143.257,71.9,0.50,
08/07/2023 00:00,141.869,142.582,141.513,142.538,66.9,0.47,
08/04/2023 00:00,142.602,142.91,141.549,141.75,-85.2,-0.60,
08/03/2023 00:00,143.358,143.889,142.062,142.606,-75.2,-0.53,
08/02/2023 00:00,142.963,143.477,142.232,143.357,39.4,0.27,
08/01/2023 00:00,142.324,143.544,142.254,142.963,63.9,0.45,
07/31/2023 00:00,140.743,142.68,140.689,142.325,158.2,1.11,
07/28/2023 00:00,138.867,141.179,138.038,141.14,227.3,1.61,
07/27/2023 00:00,140.371,141.32,138.707,138.869,-150.2,-1.08,
07/26/2023 00:00,140.913,141.186,139.918,140.371,-54.2,-0.39,
07/25/2023 00:00,141.542,141.74,140.824,140.905,-63.7,-0.45,
07/24/2023 00:00,141.751,141.811,140.737,141.542,-20.9,-0.15,
07/21/2023 00:00,139.829,141.954,139.746,141.775,194.6,1.37,
07/20/2023 00:00,139.605,140.5,139.107,139.851,24.6,0.18,
07/19/2023 00:00,138.999,139.992,138.846,139.607,60.8,0.44,
07/18/2023 00:00,138.708,139.19,137.672,139.025,31.7,0.23,
07/17/2023 00:00,138.685,139.405,137.995,138.723,3.8,0.03,
07/14/2023 00:00,138.065,139.16,137.237,138.69,62.5,0.45,
07/13/2023 00:00,138.323,138.956,137.89,138.065,-25.8,-0.19,
07/12/2023 00:00,140.124,140.163,138.15,138.32,-180.4,-1.30,
07/11/2023 00:00,141.307,141.46,140.07,140.122,-118.5,-0.85,
